Position, 2-3
60:ab:67:fe:d1:c5,agent-1,"[-74.0, -79.0, -89.0, -58.0, -82.0, -83.0, None, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-76.0, -88.0, None, -63.0, None, None, None, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -46.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -61.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-74.0, -79.0, -89.0, -55.0, -80.0, -87.0, None, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-79.0, -82.0, None, -71.0, None, None, None, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -49.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -61.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-76.0, -79.0, -89.0, -53.0, -81.0, -87.0, -87.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-75.0, -85.0, None, -67.0, None, None, None, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -49.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -57.0, None, None, None, None, None, None, None, None, None, None, None, None]"

Position, 2-6
60:ab:67:fe:d1:c5,agent-1,"[-73.0, -88.0, -87.0, -54.0, -83.0, -86.0, -87.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-76.0, -87.0, None, -56.0, None, None, None, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -49.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -78.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-74.0, -80.0, -91.0, -58.0, -81.0, -88.0, -87.0, None, None, None, None, None, None, None, None, None]"
